   Array length             std::binary_search          compromise_search low          compromise_search mid         compromise_search high                      std::find
           8200                    0.000323000                    0.000471000                    0.005216000                    0.019590000                    0.040606000
           8300                    0.000315000                    0.000458000                    0.004958000                    0.019996000                    0.038869000
           8400                    0.000314000                    0.000458000                    0.005175000                    0.020070000                    0.039821000
           8500                    0.000373000                    0.000586000                    0.006340000                    0.020950000                    0.043463000
           8600                    0.000332000                    0.000486000                    0.005608000                    0.021641000                    0.043132000
           8700                    0.000333000                    0.000485000                    0.005745000                    0.021319000                    0.044024000
           8800                    0.000334000                    0.000495000                    0.005701000                    0.022597000                    0.044853000
           8900                    0.000324000                    0.000474000                    0.006068000                    0.024361000                    0.044899000
           9000                    0.000415000                    0.000566000                    0.005991000                    0.021995000                    0.047199000
           9100                    0.000405000                    0.000546000                    0.006133000                    0.024311000                    0.046380000
           9200                    0.000337000                    0.000496000                    0.006015000                    0.022288000                    0.044495000
           9300                    0.000326000                    0.000478000                    0.006011000                    0.022717000                    0.044826000
           9400                    0.000317000                    0.000467000                    0.005707000                    0.021698000                    0.043998000
           9500                    0.000316000                    0.000466000                    0.005785000                    0.022329000                    0.044505000
           9600                    0.000317000                    0.000467000                    0.005906000                    0.022954000                    0.044714000
           9700                    0.000321000                    0.000465000                    0.005874000                    0.022912000                    0.045911000
           9800                    0.000320000                    0.000468000                    0.006057000                    0.023910000                    0.047179000
           9900                    0.000319000                    0.000469000                    0.006094000                    0.024051000                    0.047634000
          10000                    0.000319000                    0.000465000                    0.006200000                    0.026870000                    0.050340000
